company_name,symbol,sector_name,subsector_name,listing_date,listing_y,listing_m,listing_d
Cirtek Holdings Philippines Corporation Preferred B-2 Subseries ``A`` Shares,TCB2A,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2017-12-08,2017,12,8
Cirtek Holdings Philippines Corporation Preferred B-2 Subseries ``B`` Shares,TCB2B,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2021-02-02,2021,2,2
Cirtek Holdings Philippines Corporation Preferred B-2 Subseries C Shares,TCB2C,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2021-12-14,2021,12,14
Cirtek Holdings Philippines Corporation Preferred B-2 Subseries D Shares,TCB2D,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2021-12-14,2021,12,14
Cirtek Holdings Philippines Corporation,TECH,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2011-11-18,2011,11,18
Cirtek Holdings Philippines Corporation Bonus Detachable Warrants,TECHW,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2021-08-16,2021,8,16
PLDT Inc.,TEL,SERVICES,TELECOMMUNICATIONS,1953-09-17,1953,9,17
PTFC Redevelopment Corporation,TFC,PROPERTY,PROPERTY,1955-12-19,1955,12,19
"Top Frontier Investment Holdings, Inc.",TFHI,HOLDING FIRMS,HOLDING FIRMS,2014-01-13,2014,1,13
PLDT Inc. Convertible Preferred Shares Series ``II``,TLII,SERVICES,TELECOMMUNICATIONS,2014-10-15,2014,10,15
PLDT Inc. Convertible Preferred Shares Series ``JJ``,TLJJ,SERVICES,TELECOMMUNICATIONS,2016-01-21,2016,1,21
"Harbor Star Shipping Services, Inc.",TUGS,SERVICES,TRANSPORTATION SERVICES,2013-10-30,2013,10,30
Union Bank of the Philippines,UBP,FINANCIALS,BANKS,1992-06-29,1992,6,29
United Paragon Mining Corporation,UPM,MINING & OIL,MINING,1972-08-31,1972,8,31
Upson International Corp.,UPSON,SERVICES,RETAIL,2023-04-03,2023,4,3
Universal Robina Corporation,URC,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",1994-03-25,1994,3,25
"Vantage Equities, Inc.",V,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,1993-03-30,1993,3,30
Vitarich Corporation,VITA,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",1995-02-08,1995,2,8
"Vista Land & Lifescapes, Inc.",VLL,PROPERTY,PROPERTY,2007-06-25,2007,6,25
"Victorias Milling Company, Inc.",VMC,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",1993-11-15,1993,11,15
"VistaREIT, Inc.",VREIT,PROPERTY,PROPERTY,2022-06-15,2022,6,15
Vivant Corporation,VVT,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",1994-06-23,1994,6,23
Philweb Corporation,WEB,SERVICES,CASINOS & GAMING,1969-12-08,1969,12,8
"Wellex Industries, Inc.",WIN,HOLDING FIRMS,HOLDING FIRMS,1958-01-09,1958,1,9
"Wilcon Depot, Inc.",WLCON,SERVICES,RETAIL,2017-03-31,2017,3,31
"Waterfront Philippines, Incorporated",WPI,SERVICES,HOTEL & LEISURE,1995-03-17,1995,3,17
Xurpas Inc.,X,SME,SME,2014-12-02,2014,12,2
"Zeus Holdings, Inc.",ZHI,HOLDING FIRMS,HOLDING FIRMS,1991-07-15,1991,7,15
